type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.6713,46.2279,21590563,X,,East,12,12,0,0,6,6,0.935743471748724
Feature,Point,27.6738,46.2303,21590855,C1,,East,12,12,0,0,6,6,0.936936154272216
Feature,Point,27.6702,46.2264,21590751,12,,East,12,12,0,0,6,6,0.936995725038719
Feature,Point,27.6734,46.23,21590862,G1,,East,12,12,0,0,6,6,0.937513462792077
Feature,Point,27.6703,46.2268,21590745,MBA,,East,12,12,0,0,6,6,0.943660045627349
Feature,Point,27.6689,46.2185,21590663,L1,,East,12,12,0,0,6,6,0.944483100208017
Feature,Point,27.6694,46.2171,21590554,B1,,East,12,12,0,0,6,6,0.945128577801875
Feature,Point,27.6739,46.2306,21590867,G2,,East,12,12,0,0,6,6,0.947557775747859
Feature,Point,27.6685,46.2196,21590558,O2,,East,12,12,0,0,6,6,0.951664642057123
Feature,Point,27.6685,46.2193,21590824,O3,,East,12,12,0,0,6,6,0.954237438216887
Feature,Point,27.6728,46.2299,21590856,D1-D2,,East,12,12,0,0,6,6,0.955070473779424
Feature,Point,27.6698,46.2159,21590556,A2,,East,12,12,0,0,6,6,0.955263998634839
Feature,Point,27.671,46.2282,21590562,A1,,East,12,12,0,0,6,6,0.958558626036517
Feature,Point,27.6693,46.2257,21590691,I1-2,,East,12,12,0,0,6,6,0.959948328201696
Feature,Point,27.6701,46.2151,21590632,P2,,East,12,12,0,0,6,6,0.964698020987171
Feature,Point,27.6691,46.2168,21590553,A3,,East,12,12,0,0,6,6,0.965105217101098
Feature,Point,27.6699,46.2153,21590631,P1,,East,12,12,0,0,6,6,0.96745478866105
Feature,Point,27.6681,46.2197,21590557,O1,,East,12,12,0,0,6,6,0.969923174927161
Feature,Point,27.6698,46.227,21590810,ONT,,East,12,12,0,0,6,6,0.971138311223504
Feature,Point,27.6693,46.2262,21590690,H1-3,,East,12,12,0,0,6,6,0.97178343131802
Feature,Point,27.6683,46.2185,21590828,I2,,East,12,12,0,0,6,6,0.972635616563024
Feature,Point,27.6736,46.231,21590853,A1,,East,12,12,0,0,6,6,0.977037262971873
Feature,Point,27.6695,46.2268,21590805,M1-4,,East,12,12,0,0,6,6,0.978617555814963
Feature,Point,27.673,46.2306,21590857,D3,,East,12,12,0,0,6,6,0.979212135357608
Feature,Point,27.668,46.219,21590826,O4,,East,12,12,0,0,6,6,0.980871027156523
Feature,Point,27.6727,46.2304,21590858,D4,,East,12,12,0,0,6,6,0.980904606826484
Feature,Point,27.6693,46.2157,21590848,A1,,East,12,12,0,0,6,6,0.982637217134967
Feature,Point,27.6688,46.2165,21590623,A4,,East,12,12,0,0,6,6,0.985321901206231
Feature,Point,27.6722,46.2301,21590861,F1,,East,12,12,0,0,6,6,0.986055797098098
Feature,Point,27.6732,46.2309,21590854,B1,,East,12,12,0,0,6,6,0.986130064969364
Feature,Point,27.669,46.216,21590552,A2,,East,12,12,0,0,6,6,0.988227058592485
Feature,Point,27.6688,46.226,21590692,VI,,East,12,12,0,0,6,6,0.989380396455026
Feature,Point,27.6681,46.2178,21590832,K3,,East,12,12,0,0,6,6,0.992223674596786
Feature,Point,27.6695,46.215,21590847,D1,,East,12,12,0,0,6,6,0.993560119409876
Feature,Point,27.6676,46.2191,21590827,O5,,East,12,12,0,0,6,6,0.998766720952005
Feature,Point,27.6726,46.2308,21590864,I2,,East,12,12,0,0,6,6,1.00268089873959
Feature,Point,27.6685,46.2163,21590622,A5,,East,12,12,0,0,6,6,1.00342980728453
Feature,Point,27.6673,46.22,21590744,M6,,East,12,12,0,0,6,6,1.00610370605063
Feature,Point,27.669,46.2151,21590636,VI,,East,12,12,0,0,6,6,1.01233359283002
Feature,Point,27.6686,46.2156,21590550,A1,,East,12,12,0,0,6,6,1.01621316031513
Feature,Point,27.6683,46.216,21590621,A6,,East,12,12,0,0,6,6,1.01951095509594
Feature,Point,27.6682,46.2262,21590851,C7,,East,12,12,0,0,6,6,1.02105002726462
Feature,Point,27.667,46.2192,21590825,N4,,East,12,12,0,0,6,6,1.02623115971317
Feature,Point,27.6671,46.2185,21590829,N3,,East,12,12,0,0,6,6,1.02902886923403
Feature,Point,27.6732,46.2318,21590863,I1,,East,12,12,0,0,6,6,1.0295714789613
Feature,Point,27.6672,46.2181,21590830,K4,,East,12,12,0,0,6,6,1.02964736541156
Feature,Point,27.6736,46.2321,21590859,D5,,East,12,12,0,0,6,6,1.03137138091776
Feature,Point,27.6737,46.2322,21590860,D6,,East,12,12,0,0,6,6,1.03321594351801
Feature,Point,27.669,46.2144,21590635,V1,,East,12,12,0,0,6,6,1.03328422116053
Feature,Point,27.6672,46.2177,21590665,K2,,East,12,12,0,0,6,6,1.03567993542272
Feature,Point,27.6673,46.2173,21590664,K1,,East,12,12,0,0,6,6,1.03778966032972
Feature,Point,27.6669,46.218,21590834,K5,,East,12,12,0,0,6,6,1.04511100862016
Feature,Point,27.6691,46.2285,21590753,UMPS,,East,12,12,0,0,6,6,1.04771934957678
Feature,Point,27.6665,46.2193,21590741,M5,,East,12,12,0,0,6,6,1.04906089840934
Feature,Point,27.6676,46.2266,21590850,U1-11,,East,12,12,0,0,6,6,1.05756060876536
Feature,Point,27.6677,46.2269,21590852,4,,East,12,12,0,0,6,6,1.06066704643926
Feature,Point,27.6728,46.2322,21590866,C,,East,12,12,0,0,6,6,1.06270724735498
Feature,Point,27.6664,46.2182,21590831,N2,,East,12,12,0,0,6,6,1.06575931410316
Feature,Point,27.6666,46.2171,21590662,J2,,East,12,12,0,0,6,6,1.07369564463936
Feature,Point,27.6663,46.2176,21590833,73,,East,12,12,0,0,6,6,1.07914623682514
Feature,Point,27.6659,46.2187,21590740,M4,,East,12,12,0,0,6,6,1.08326826661362
Feature,Point,27.6729,46.2327,21590868,Z4,,East,12,12,0,0,6,6,1.08452517658735
Feature,Point,27.6657,46.2184,21590739,M3,,East,12,12,0,0,6,6,1.09613125337619
Feature,Point,27.6655,46.2192,21590743,B5,,East,12,12,0,0,6,6,1.09735654103045
Feature,Point,27.6716,46.2322,21590627,E,,East,12,12,0,0,6,6,1.10341305148978
Feature,Point,27.6657,46.2178,21590655,N1,,East,12,12,0,0,6,6,1.10410521833519
Feature,Point,27.6734,46.2334,21590872,D14,,East,12,12,0,0,6,6,1.10503231766777
