type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.6699,46.2373,21590773,Z4,,East,12,12,0,0,6,6,1.41966721094199
Feature,Point,27.6683,46.2364,21590597,B10,,East,12,12,0,0,6,6,1.42156559460439
Feature,Point,27.6739,46.2392,21590788,K3,,East,12,12,0,0,6,6,1.42342338977815
Feature,Point,27.6687,46.2368,21590598,V10,,East,12,12,0,0,6,6,1.42956793618212
Feature,Point,27.6743,46.2395,21590886,Z6,,East,12,12,0,0,6,6,1.43259404515899
Feature,Point,27.6717,46.2385,21590763,B8,,East,12,12,0,0,6,6,1.4364876693291
Feature,Point,27.6723,46.2388,21590775,V1,,East,12,12,0,0,6,6,1.43839037349341
Feature,Point,27.6691,46.2373,21590599,V9,,East,12,12,0,0,6,6,1.44364208532245
Feature,Point,27.6712,46.2384,21590764,E4,,East,12,12,0,0,6,6,1.44410397876347
Feature,Point,27.6719,46.2389,21590774,E3,,East,12,12,0,0,6,6,1.45445120826841
Feature,Point,27.6713,46.2387,21590769,I5,,East,12,12,0,0,6,6,1.45858441658861
Feature,Point,27.6726,46.2393,21590613,V2,,East,12,12,0,0,6,6,1.46036950111497
Feature,Point,27.6694,46.2378,21590600,V8,,East,12,12,0,0,6,6,1.4615961093058
Feature,Point,27.6705,46.2384,21590772,Z3,,East,12,12,0,0,6,6,1.46327830133219
Feature,Point,27.6722,46.2392,21590619,B5,,East,12,12,0,0,6,6,1.46438654768036
Feature,Point,27.6709,46.2388,21590762,B7,,East,12,12,0,0,6,6,1.47501260944366
Feature,Point,27.6717,46.2392,21590610,V3,,East,12,12,0,0,6,6,1.47706922431556
Feature,Point,27.6584,46.2154,21590681,Confectii,,East,12,12,0,0,6,6,1.48286281164503
Feature,Point,27.6726,46.2397,21590617,B1,,East,12,12,0,0,6,6,1.48415838168099
Feature,Point,27.6697,46.2384,21590602,V7,,East,12,12,0,0,6,6,1.48581159370821
Feature,Point,27.6713,46.2392,21590620,B6,,East,12,12,0,0,6,6,1.48741400836682
Feature,Point,27.6709,46.2391,21590607,V4,,East,12,12,0,0,6,6,1.49218671269696
Feature,Point,27.6729,46.24,21590616,A5,,East,12,12,0,0,6,6,1.49498417494791
Feature,Point,27.672,46.2397,21590615,B2,,East,12,12,0,0,6,6,1.49884380213132
Feature,Point,27.67,46.2389,21590604,V6,,East,12,12,0,0,6,6,1.50528145007286
Feature,Point,27.6722,46.2399,21590614,A4,,East,12,12,0,0,6,6,1.50577026563555
Feature,Point,27.673,46.2403,21590618,F1,,East,12,12,0,0,6,6,1.51075183190351
Feature,Point,27.6713,46.2397,21590612,B3,,East,12,12,0,0,6,6,1.51648264162722
Feature,Point,27.6716,46.2399,21590611,A3,,East,12,12,0,0,6,6,1.52060752478393
Feature,Point,27.6703,46.2394,21590605,V5,,East,12,12,0,0,6,6,1.5254203844494
Feature,Point,27.6706,46.2396,21590609,B4,,East,12,12,0,0,6,6,1.52888547383343
Feature,Point,27.6709,46.2398,21590608,A2,,East,12,12,0,0,6,6,1.53260158655966
Feature,Point,27.6724,46.2407,21590711,C1,,East,12,12,0,0,6,6,1.54885347787183
Feature,Point,27.6703,46.2399,21590606,A1,,East,12,12,0,0,6,6,1.5540851607588
Feature,Point,27.672,46.2407,21590710,C2,,East,12,12,0,0,6,6,1.55831119064233
Feature,Point,27.6697,46.2397,21590698,D1,,East,12,12,0,0,6,6,1.55874866470228
Feature,Point,27.6692,46.2397,21590701,G1,,East,12,12,0,0,6,6,1.57248670443397
Feature,Point,27.6716,46.2409,21590709,C3,,East,12,12,0,0,6,6,1.57985996523113
Feature,Point,27.6692,46.24,21590702,G2,,East,12,12,0,0,6,6,1.58941840500815
Feature,Point,27.6697,46.2403,21590699,D2,,East,12,12,0,0,6,6,1.5929940793646
Feature,Point,27.6712,46.2411,21590708,C4,,East,12,12,0,0,6,6,1.60146623081934
Feature,Point,27.6692,46.2404,21590703,G3,,East,12,12,0,0,6,6,1.61213201286919
Feature,Point,27.6698,46.2407,21590700,D3,,East,12,12,0,0,6,6,1.61339050351457
Feature,Point,27.6708,46.2412,21590707,D5,,East,12,12,0,0,6,6,1.61720775453111
Feature,Point,27.6694,46.2409,21590704,E1,,East,12,12,0,0,6,6,1.63544277576431
Feature,Point,27.6702,46.2413,21590706,D4,,East,12,12,0,0,6,6,1.63807318146509
Feature,Point,27.6697,46.2415,21590705,E2,,East,12,12,0,0,6,6,1.66247059517152
Feature,Point,27.6816,46.2494,21590794,4,,East,12,12,0,0,6,6,1.97724676735241
Feature,Point,27.6814,46.2507,21590793,3,,East,12,12,0,0,6,6,2.06744419837156
Feature,Point,27.6818,46.2509,21590792,2,,East,12,12,0,0,6,6,2.07815490765315
