title,type,longitude,latitude,remote_id
C3,Feature,27.6647,46.2194,21590570
D6,Feature,27.6721,46.2333,21590876
D2,Feature,27.6716,46.233,21590801
B,Feature,27.6713,46.2328,21590795
B3,Feature,27.6647,46.2184,21590736
V2,Feature,27.6657,46.2157,21590674
E1,Feature,27.6652,46.2167,21590666
D11,Feature,27.6729,46.2339,21590869
D16,Feature,27.6738,46.2344,21590874
C4,Feature,27.6642,46.22,21590678
E2,Feature,27.6651,46.2163,21590668
V1,Feature,27.6655,46.2154,21590675
D4,Feature,27.6718,46.2335,21590802
E9,Feature,27.6649,46.2166,21590838
D17,Feature,27.6735,46.2345,21590875
D9,Feature,27.6726,46.234,21590878
C2,Feature,27.6642,46.2189,21590567
A,Feature,27.6708,46.2329,21590776
E3,Feature,27.6651,46.2158,21590669
M1,Feature,27.6645,46.2172,21590737
D3,Feature,27.6715,46.2335,21590799
B7,Feature,27.6641,46.2183,21590566
D7,Feature,27.6722,46.234,21590796
C1,Feature,27.6698,46.2324,21590754
B1,Feature,27.6692,46.232,21590688
B2,Feature,27.664,46.218,21590735
Z3,Feature,27.6739,46.2351,21590811
E8,Feature,27.6646,46.2161,21590839
K4,Feature,27.6706,46.2332,21590727
D5,Feature,27.6719,46.2341,21590797
I3,Feature,27.6643,46.2165,21590835
E4,Feature,27.6647,46.2156,21590671
C5,Feature,27.6635,46.2193,21590679
E5,Feature,27.6648,46.2153,21590672
C1,Feature,27.6636,46.2183,21590569
S1,Feature,27.6716,46.2341,21590781
C6,Feature,27.6634,46.2187,21590680
I4,Feature,27.6641,46.2163,21590836
P1,Feature,27.6636,46.2177,21590734
I2,Feature,27.6639,46.2167,21590733
3,Feature,27.6665,46.23,21590575
C4,Feature,27.6705,46.2336,21590777
E6,Feature,27.6644,46.2153,21590673
D18,Feature,27.6731,46.2352,21590800
Q110,Feature,27.671,46.234,21590779
I5,Feature,27.664,46.2161,21590837
Z5,Feature,27.6725,46.2349,21590782
5,Feature,27.6668,46.2305,21590577
E7,Feature,27.6642,46.2155,21590840
G6,Feature,27.6645,46.2147,21590676
A4,Feature,27.6693,46.233,21590697
11,Feature,27.6711,46.2343,21590778
E9,Feature,27.6755,46.2366,21590818
D1,Feature,27.665,46.2135,21590660
F1,Feature,27.6646,46.2141,21590661
10,Feature,27.6706,46.2342,21590780
4,Feature,27.6663,46.2306,21590576
P3,Feature,27.6631,46.2169,21590732
P4,Feature,27.6628,46.2176,21590571
B9,Feature,27.6667,46.2312,21590578
Z1,Feature,27.675,46.2367,21590882
I1,Feature,27.6635,46.2154,21590730
G7,Feature,27.6637,46.215,21590849
A3,Feature,27.6687,46.2332,21590696
