type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y
Feature,Point,26.12445,44.4586,21478336,Bloc T9A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1249,44.45895,21478337,Bloc T9B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.125,44.4585,21478338,Bloc T10,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1255,44.4587,21478339,Bloc T11,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1244,44.4598,21478340,Bloc T13,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1249,44.46,21478341,Bloc T14,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.125,44.46025,21478342,Bloc T15A,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.12485,44.46045,21478343,Bloc T15B,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.1247,44.46065,21478344,Bloc T15C,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.12425,44.46055,21478345,Bloc T16,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.1241,44.46025,21478346,Bloc T17A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1241,44.46,21478347,Bloc T17B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12355,44.46025,21478348,Bloc T18,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.12345,44.46,21478349,Bloc T19A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12345,44.45975,21478350,Bloc T19B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12285,44.46,21478351,Bloc T20,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.1228,44.45975,21478352,Bloc T21A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1227,44.4595,21478353,Bloc T21B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12215,44.45965,21478354,Bloc T22,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12205,44.4594,21478355,Bloc T23A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1223,44.45925,21478356,Bloc T23B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1228,44.45905,21478357,Bloc T24A,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.12305,44.45895,21478358,Bloc T24B,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1234,44.459,21478359,Bloc T25,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1236,44.4592,21478360,Bloc T26,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1239,44.45955,21478361,Bloc T27,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12415,44.4597,21478362,Bloc T28,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12145,44.46025,21478363,Bloc T29,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1208,44.4613,21478364,Bloc T30A,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1213,44.46145,21478365,Bloc T30B,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1218,44.4616,21478366,Bloc T30C,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1228,44.4617,21478367,Bloc T31A,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1223,44.46185,21478368,Bloc T31B,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1223,44.4613,21478369,Bloc T32,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1214,44.461,21478370,Bloc T33,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1207,44.4591,21478371,Bloc T50,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12045,44.45905,21478372,Bloc T50,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1205,44.4588,21478373,Bloc T51,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12055,44.45855,21478374,Bloc T52,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12065,44.4582,21478375,Bloc T53,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12075,44.4579,21478376,Bloc T54,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.12085,44.4575,21478377,Bloc T55,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.121,44.4571,21478378,Bloc T56,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12105,44.4568,21478379,Bloc T57,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.12125,44.4564,21478380,Bloc T58,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1215,44.4566,21478381,Bloc T59,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12165,44.4568,21478382,Bloc T60,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1213,44.45935,21478383,Bloc T61,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12165,44.4592,21478384,Bloc T62,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1213,44.45895,21478385,Bloc T63,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
